,id,name,overall_rating,review_count,address,city,state,zip
169,_hljp2lAVTCaTMGxORvybA,Sushi One,4.0,349,3905 W 6th St,Los Angeles,CA,90020
170,iOuz4WzpUaG6MOajq4Hi2A,Peking Tavern,4.0,709,806 S Spring St,Los Angeles,CA,90014
171,xLN_-pgHhbaM8uazk_Uv7A,Bäco Mercat,4.0,2489,408 S Main St,Los Angeles,CA,90013
172,ru7TAEo7lkbxMmkbFRGFMw,La Cevicheria,4.5,788,3809 W Pico Blvd,Los Angeles,CA,90019
173,ZROWIc3EfvE5kiLu-uedTw,Witch's Chicken,4.5,12,3250 W Olympic Blvd,Los Angeles,CA,90006
174,YBmk31pBPukmnRyioe5uBA,Sushi Gen,4.5,3613,422 E 2nd St,Los Angeles,CA,90012
175,PfHYIFTflHuHGXM-Lvy97w,Hock+Hoof,4.5,181,517 S Spring St,Los Angeles,CA,90013
176,udINVeecZdXtmCgbBIZi7A,Tatsu Ramen,4.0,2974,2123 Sawtelle Blvd,Los Angeles,CA,90025
177,VQz6yZBj3l_T2XX-4mLV-Q,Emporium Thai,4.0,1845,1275 Westwood Blvd,Los Angeles,CA,90024
178,CGJLSb8h5XF0zOzsFjY7WA,The Stocking Frame,4.0,1022,911 S Hill St,Los Angeles,CA,90015
179,3PYUJTfqcebeIOOqOLbMGQ,Chego!,4.0,1720,727 N Broadway,Los Angeles,CA,90012
180,XFWlU7sXDL3SIy7rmUVQpA,Daw Yee Myanmar Corner,4.5,291,2837 Sunset Blvd,Los Angeles,CA,90026
181,3NNz-pVT_auFKzqt45D2ZA,Western Doma Noodles,4.0,544,429 N Western Ave,Los Angeles,CA,90004
182,atasQmdwOXb0otZ4B56BVg,fundamental LA,4.0,952,1303 Westwood Blvd,Los Angeles,CA,90024
183,AgUSfMByb7r4ffVR2WYMuw,Rustic Kitchen Market & Cafe,4.0,319,3523 S Centinela Ave,Los Angeles,CA,90066
184,XMkmgUwX3fetzLc0rumkiQ,Terra Cotta,3.5,384,3760 Wilshire Blvd,Los Angeles,CA,90010
185,81kXeyBt1AKiJC_HITT9KA,Blue Cow Kitchen & Bar,4.0,1222,350 S Grand Ave,Los Angeles,CA,90071
186,FW7LQTjlwi2e0e3gkiF_Gw,Stella Barra Pizzeria,4.0,1108,6372 W Sunset Blvd,Los Angeles,CA,90028
187,tDeuHjIUJrHeELrKEekXtA,n/naka,4.5,643,3455 Overland Ave,Los Angeles,CA,90034
188,bdm3708B0OJW9xDdaKVH_A,Gol Tong Chicken,4.5,318,3625 W 6th St,Los Angeles,CA,90020
189,6qbzxyz_EB5ZU73y-0gTaQ,Khun Mae Ploy Thai Cuisine,5.0,9,2701 Sunset Blvd,Los Angeles,CA,90026
190,dP37CRr-OfsAqFpt1VNcGw,Pizzeria Il Fico,4.5,424,310 S Robertson Blvd,Los Angeles,CA,90048
191,cygrATWq2weoWXI_N4j62g,Hokkaido Ramen Santouka,4.5,2186,3760 S Centinela Ave,Los Angeles,CA,90066
192,h9PSJ18gQ4kos8A0XAGlng,Carlitos Gardel Argentine Steakhouse,4.5,943,7963 Melrose Ave,Los Angeles,CA,90046
193,ssAlyvM97hroBeVPVJPgwA,Versailles Cuban Food,4.0,2116,10319 Venice Blvd,Los Angeles,CA,90034
194,ZMYlZNqq1eWG70OGvuXD4A,We Have Noodles,4.5,183,3827 Sunset Blvd,Los Angeles,CA,90026
195,1nV2NBbRXiWYqjSNcSsYWA,Farmhouse,4.0,373,8509 W 3rd St,Los Angeles,CA,90048
196,qCJ2LFfNbXYBIcjXNva1cA,Langer's,4.5,3522,704 S Alvarado St,Los Angeles,CA,90057
197,1k6hSTQO9E4iSzwyx8yTUw,Ta-eem Grill,4.5,1037,7422 Melrose Ave,Los Angeles,CA,90046
