Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
JAMBA JUICE #527,2919 LOS FELIZ BLVD STE 2,LOS ANGELES,CA,90039,94,A
PANDA EXPRESS #1212,5543 W SUNSET BLVD,LOS ANGELES,CA,90028,98,A
MARISCOS EL CAMARON PELADO RESTAURANT,2676 PASADENA AVE,LOS ANGELES,CA,90031,93,A
FRESH AND MEATY BURGERS,3016 W FLORENCE AVE,LOS ANGELES,CA,90043,95,A
UNITED OIL #101,450 E EL SEGUNDO BLVD,LOS ANGELES,CA,90061,99,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,100,A
HAYATO,1320 E 7TH ST # 126,LOS ANGELES,CA,90021,97,A
INK SACK,380 WORLD WAY T48,LOS ANGELES,CA,90045,93,A
MILLIE'S COFFEE SHOP,3524 W SUNSET BLVD,LOS ANGELES,CA,90026,96,A
ANDANTE COFFEE ROASTERS,2201 W SUNSET BLVD,LOS ANGELES,CA,90026,93,A
LA AZTECA TORTILLERIA & RESTAURANT,4538 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90022,93,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,98,A
DOLLAR ZONE,644 E EL SEGUNDO BLVD,LOS ANGELES,CA,90059,99,A
THE PORTER JUNCTION CAFE,2350 PORTER ST,LOS ANGELES,CA,90021,99,A
RESTAURANTE EL QUETZALITO,5406 S NORMANDIE AVE,LOS ANGELES,CA,90037,92,A
CARLS JR #212,1751 S SOTO ST,LOS ANGELES,CA,90023,98,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,99,A
SONSONATE GRILL #2,4350 AVALON BLVD,LOS ANGELES,CA,90011,93,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,99,A
AHI POKI,3782 S FIGUEROA ST,LOS ANGELES,CA,90007,97,A
SUBWAY #12484,5339 W CENTINELA AVE STE #A,LOS ANGELES,CA,90045,97,A
DONUT FARM,2609 W SUNSET BLVD,LOS ANGELES,CA,90026,90,A
PUPUSERIA CUSCATLAN,608 E 59TH ST,LOS ANGELES,CA,90001,90,A
SAWYER,3705 SUNSET BLVD,LOS ANGELES,CA,90026,94,A
CVS/PHARMACY #9477,5399 W CENTINELA AVE,LOS ANGELES,CA,90045,96,A
KB GAS MART,1009 S CRENSHAW BLVD,LOS ANGELES,CA,90019,98,A
TOGO'S/BASKIN ROBBINS,2919 LOS FELIZ BLVD STE E-3,LOS ANGELES,CA,90039,94,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,95,A
K & K DONUTS,2101 W SUNSET BLVD,LOS ANGELES,CA,90026,96,A
YURI'S AUTHENTIC TACOS AND MEXICAN RESTAURANT,5165 E WHITTIER BLVD,LOS ANGELES,CA,90022,68,C
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,100,A
AHIPOKI BOWL,5553 W SUNSET BLVD # 101,LOS ANGELES,CA,90028,97,A
COGNOSCENTI COFFEE,1118 SAN JULIAN ST,LOS ANGELES,CA,90015,98,A
NEW VERNON RANCHO MARKET,1713 E VERNON AVE STE #107,LOS ANGELES,CA,90058,93,A
NEW ORLEANS FISH MARKET,2212 W VERNON AVE,LOS ANGELES,CA,90008,92,A
"PEREZ, MINI MARKET",4355 S AVALON BLVD,LOS ANGELES,CA,90011,98,A
HANNAM CHAIN SNACK BAR,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,94,A
HUNGRY HAROLD'S,3453 W SLAUSON AVE,LOS ANGELES,CA,90043,91,A
HANSOL NOODLE & KOREAN FOOD,621 S WESTERN AVE STE #100,LOS ANGELES,CA,90005,86,B
SAWYER,3705 SUNSET BLVD,LOS ANGELES,CA,90026,94,A
JOHN SERVICE STATION,105 E EL SEGUNDO BLVD,LOS ANGELES,CA,90061,99,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,95,A
L. A. XPRESS PIZZA,527 E VERNON AVE,LOS ANGELES,CA,90011,92,A
EL ANTOJITO,12730 S FIGUEROA ST STE 104-5,LOS ANGELES,CA,90016,86,B
PEKING DUMPLING,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,96,A
