,Restaurant ID,Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
148,PR0019072,QANTAS AIRWAYS LOUNGE,380 WORLD WAY 5TH FLR,LOS ANGELES,CA,90041,86,B
149,PR0006330,LOS BALCONES DEL PERU,1360 N VINE ST,LOS ANGELES,CA,90028,93,A
150,PR0038056,TACOMIENDO,11462 GATEWAY BLVD,LOS ANGELES,CA,90034,90,A
151,PR0002852,SAWTELLE-76,11305 SANTA MONICA BLVD,LOS ANGELES,CA,90025,98,A
152,PR0156330,QANTAS AIRWAYS LOUNGE,380 WORLD WAY 5TH FLR,LOS ANGELES,CA,90041,92,A
153,PR0174373,THE SEMI-TROPIC,1412 N GLENDALE BLVD,LOS ANGELES,CA,90026,96,A
154,PR0191776,CIRCLE K,3360 E OLYMPIC BLVD,LOS ANGELES,CA,90023,93,A
155,PR0167560,SLAPFISH,200 WORLD WAY # 225,LOS ANGELES,CA,90045,90,A
156,PR0037772,CELAYA BAKERY,1630 W SUNSET BLVD,LOS ANGELES,CA,90026,93,A
157,PR0000856,LOS PINITOS NUEVOS BAKERY,1154 S LORENA ST,LOS ANGELES,CA,90023,96,A
158,PR0202126,JAPAN HOUSE LA 2ND FLOOR,6801 HOLLYWOOD BLVD #213 -221,LOS ANGELES,CA,90028,98,A
159,PR0189564,SHAKE SHACK,6201 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,98,A
160,PR0000974,JOHNNY ROCKETS,6801 HOLLYWOOD BLVD STE 325,LOS ANGELES,CA,90028,98,A
161,PR0172442,CIVIL COFFEE,5629 N FIGUEROA ST,LOS ANGELES,CA,90042,95,A
162,PR0034972,MCDONALD'S # 10129,245 N SOTO ST,LOS ANGELES,CA,90033,97,A
163,PR0024274,TRAVEL TRADERS,404 S FIGUEROA ST STE #104,LOS ANGELES,CA,90071,99,A
164,PR0173732,BARNEY'S BEANERY,200 WORLD WAY # 240,LOS ANGELES,CA,90045,81,B
165,PR0157524,GREENLEAF CHOP SHOP,6201 HOLLYWOOD BLVD # 120,LOS ANGELES,CA,90028,92,A
166,PR0005629,ZANKOU CHICKEN,7851 W SUNSET BLVD,LOS ANGELES,CA,90046,95,A
167,PR0201944,ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,92,A
168,PR0039738,LA PRINCESITA MEAT MARKET,2514 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,94,A
169,PR0181549,JERSEY MIKE'S SUBS,6361 WILSHIRE BLVD,LOS ANGELES,CA,90048,90,A
170,PR0172775,JINYA RAMEN EXPRESS,6801 HOLLYWOOD BLVD # 315,LOS ANGELES,CA,90028,94,A
171,PR0040397,JIM'S BURGERS,915 S SOTO ST,LOS ANGELES,CA,90023,90,A
172,PR0193865,CVS/PHARMACY #10614,800 S GRAND AVE,LOS ANGELES,CA,90017,92,A
173,PR0043580,ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,90,A
174,PR0148115,AA REGIONAL ADMIRAL'S CLUB,6022 AVION DR,LOS ANGELES,CA,90045,94,A
175,PR0192760,PASEO SAN MIGUEL RESTAURANT,3723 S WESTERN AVE,LOS ANGELES,CA,90018,98,A
